name,site,subtypes,category,type,phone number,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,latitude,longitude,full_address,city,state,area_service,rating,reviews,reviews_link,photos_count,working_hours,verified,location_link,place_id,email_1,email_1.emails_validator.status,facebook,instagram,logo,primary_color,secondary_color,slug
"Prestige Plumbing Repair, LLC",https://prestigeplumbingrepair.com/,"Plumber, Service establishment, Plumbing supply store",Plumber,Plumber,+1 318-613-3353,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.0203914,-92.630976,,McNary,LA,True,3.0,2.0,,,"{""Sunday"": ""Closed"", ""Monday"": ""6AM-6PM"", ""Tuesday"": ""6AM-6PM"", ""Wednesday"": ""6AM-6PM"", ""Thursday"": ""6AM-6PM"", ""Friday"": ""6AM-6PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Prestige+Plumbing+Repair%2C+LLC/@31.020391399999998,-92.63097599999999,14z/data=!4m8!1m2!2m1!1sPrestige+Plumbing+Repair%2C+LLC!3m4!1s0x546e2cd6cce88b3:0x3bbe4a607cb5c4ac!8m2!3d31.020391399999998!4d-92.63097599999999",ChIJs4jObM3iRgURrMS1fGBKvjs,prestigeplumbingandrepair@outlook.com,RECEIVING,http://www.facebook.com/Prestige-Plumbing-Repair-LLC-108593138359397,,https://lh6.googleusercontent.com/-jqOBkMyFIdg/AAAAAAAAAAI/AAAAAAAAAAA/PhBqCcnCeJ4/s256/photo.jpg,#4374e0,#9fc2fe,prestigeplumbingrepairllc
Prestige Plumbing Repair LLC,https://www.prestigeplumbingrepair.com/,"Plumber, Service establishment",Plumber,Plumber,+1 318-613-3353,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.0024734,-92.6968305,,McNary,LA,True,5.0,9.0,"https://search.google.com/local/reviews?placeid=ChIJj_d7X3xF-mQRC8d5AQxaCsE&q=plumber,+71463,+Oakdale,+LA,+US&authuser=0&hl=en&gl=US",29.0,"{""Sunday"": ""Closed"", ""Monday"": ""6AM-6PM"", ""Tuesday"": ""6AM-6PM"", ""Wednesday"": ""6AM-6PM"", ""Thursday"": ""6AM-6PM"", ""Friday"": ""6AM-6PM"", ""Saturday"": ""6AM-6PM""}",True,"https://www.google.com/maps/place/Prestige+Plumbing+Repair+LLC/@31.0024734,-92.69683049999999,14z/data=!4m8!1m2!2m1!1sPrestige+Plumbing+Repair+LLC!3m4!1s0x64fa457c5f7bf78f:0xc10a5a0c0179c70b!8m2!3d31.0024734!4d-92.69683049999999",ChIJj_d7X3xF-mQRC8d5AQxaCsE,prestigeplumbingandrepair@outlook.com,RECEIVING,http://www.facebook.com/Prestige-Plumbing-Repair-LLC-108593138359397,,https://lh6.googleusercontent.com/-MyfSJOpkEws/AAAAAAAAAAI/AAAAAAAAAAA/tmMJZ03qseI/s256/photo.jpg,#bd403e,#fcfbfa,prestigeplumbingrepairllc
Superior Plumbing of Cenla,https://superiorplumbingofcenla.com/,"Plumber, Contractor, Service establishment",Plumber,Plumber,+1 318-715-7149,CELLCO PARTNERSHIP DBA VERIZON,mobile,31.5109085,-92.637036,,Colfax,LA,True,4.2,18.0,"https://search.google.com/local/reviews?placeid=ChIJkw2Mw7-tOoYRbLtzAkjISEQ&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",6.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Superior+Plumbing+of+Cenla/@31.5109085,-92.637036,14z/data=!4m8!1m2!2m1!1sSuperior+Plumbing+of+Cenla!3m4!1s0x863aadbfc38c0d93:0x4448c8480273bb6c!8m2!3d31.5109085!4d-92.637036",ChIJkw2Mw7-tOoYRbLtzAkjISEQ,superiorplumbing81@gmail.com,RECEIVING,http://facebook.com/squarespace,http://instagram.com/squarespace,https://lh5.googleusercontent.com/-5eRzKJKhs3U/AAAAAAAAAAI/AAAAAAAAAAA/FilljFS_tY8/s256/photo.jpg,#000000,#8c0000,superiorplumbingofcenla
Rad Plumbing LLC,http://www.radplumbers.com/,"Plumber, Service establishment",Plumber,Plumber,+1 318-664-7633,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,5.0,4.0,"https://search.google.com/local/reviews?placeid=ChIJLz7x47HYFiARrab9ZlscYUw&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",2.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Rad+Plumbing+LLC/@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sRad+Plumbing+LLC!3m4!1s0x2016d8b1e3f13e2f:0x4c611c5b66fda6ad!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJLz7x47HYFiARrab9ZlscYUw,team@latofonts.com,RECEIVING,https://www.facebook.com/106585651700819,,https://lh5.googleusercontent.com/-9zZY5vgNlu8/AAAAAAAAAAI/AAAAAAAAAAA/EUvpH-vHZIs/s256/photo.jpg,#3a2d8f,#fafafb,radplumbingllc
Rainwater Plumbing Repair LLC,https://rainwaterplumbingrepair.com/,"Plumber, Service establishment",Plumber,Plumber,+1 318-308-7942,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.340579,-92.470388,,Pineville,LA,True,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJcTbwSSI47EYRHGF4q_fcN0M&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",2.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM""}",True,"https://www.google.com/maps/place/Rainwater+Plumbing+Repair+LLC/@31.340578999999998,-92.470388,14z/data=!4m8!1m2!2m1!1sRainwater+Plumbing+Repair+LLC!3m4!1s0x46ec382249f03671:0x4337dcf7ab78611c!8m2!3d31.340578999999998!4d-92.470388",ChIJcTbwSSI47EYRHGF4q_fcN0M,,,,,https://lh6.googleusercontent.com/-Auqxa3l-r54/AAAAAAAAAAI/AAAAAAAAAAA/IPbsqtGLZkk/s256/photo.jpg,#4374e0,#9fc2fe,rainwaterplumbingrepairllc
Southern Air & Plumbing,https://www.southernairnow.com/locations/pineville/?utm_source=google-gbp,"Plumber, Air conditioning contractor, Electrician, Electric generator shop, HVAC contractor",HVAC contractor,Plumber,+1 318-217-2405,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.3425785,-92.4314489,"1974 Monroe Hwy, Pineville, LA 71360",Pineville,Louisiana,False,4.9,3821.0,"https://search.google.com/local/reviews?placeid=ChIJzcuiRIVNJYYRLojc-1YUKGE&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",92.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Southern+Air+%26+Plumbing/@31.3425785,-92.43144889999999,14z/data=!4m8!1m2!2m1!1sSouthern+Air+%26+Plumbing!3m4!1s0x86254d8544a2cbcd:0x61281456fbdc882e!8m2!3d31.3425785!4d-92.43144889999999",ChIJzcuiRIVNJYYRLojc-1YUKGE,pruett@southernairheatingandcooling.com,INVALID,https://www.facebook.com/SouthernAirHeatingCoolingandPlumbing/,,https://lh5.googleusercontent.com/-K-d5qAm-XLY/AAAAAAAAAAI/AAAAAAAAAAA/fR7RwNdgsQY/s256/photo.jpg,#ecf3f8,#457d5c,southernairplumbing
Coleman Plumbing LLC,http://www.colemanplumbing.com/,"Plumber, Service establishment",Plumber,Plumber,,,,31.429159,-92.7625655,,Sharp,LA,True,,,,5.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Coleman+Plumbing+LLC/@31.429159,-92.7625655,14z/data=!4m8!1m2!2m1!1sColeman+Plumbing+LLC!3m4!1s0xa52b9fd8295e470d:0xb5356e2ea09ce0f6!8m2!3d31.429159!4d-92.7625655",ChIJDUdeKdifK6UR9uCcoC5uNbU,privacy@giantpanda.com,RECEIVING,https://www.facebook.com/about/,,https://lh4.googleusercontent.com/-6VxX2hAvGfA/AAAAAAAAAAI/AAAAAAAAAAA/ZNMMKxZxepE/s256/photo.jpg,#fefbfb,#ee1414,colemanplumbingllc
All Plumbing,https://www.allplumbing247.com/?utm_source=google,"Plumber, Bathroom remodeler, Drainage service",Plumber,Plumber,+1 318-503-8127,T-Mobile USA Inc.,mobile,32.5279528,-92.0815773,"605 Sterlington Rd, Monroe, LA 71203",Monroe,Louisiana,False,4.9,865.0,"https://search.google.com/local/reviews?placeid=ChIJ_ajr1xtGLoYRdnAFw5Tq_v8&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",127.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/All+Plumbing/@32.5279528,-92.08157729999999,14z/data=!4m8!1m2!2m1!1sAll+Plumbing!3m4!1s0x862e461bd7eba8fd:0xfffeea94c3057076!8m2!3d32.5279528!4d-92.08157729999999",ChIJ_ajr1xtGLoYRdnAFw5Tq_v8,jason@allservice247.com,RECEIVING,https://www.facebook.com/allplumbing247/,,https://lh4.googleusercontent.com/-csJOK4lAImU/AAAAAAAAAAI/AAAAAAAAAAA/3XCzSR3vOGY/s256/photo.jpg,#b15055,#abd2e5,allplumbing
Action Rooter LLC,https://www.actionrooterla.com/,"Septic system service, Service establishment",Septic system service,Septic system service,+1 318-729-1136,MTPCS LLC (Cellular One),mobile,31.1757915,-92.6277244,,Castor Plunge,LA,True,5.0,25.0,,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Action+Rooter+LLC/@31.1757915,-92.62772439999999,14z/data=!4m8!1m2!2m1!1sAction+Rooter+LLC!3m4!1s0x231bba09ce98cd3:0xc2f5caaf33a17648!8m2!3d31.1757915!4d-92.62772439999999",ChIJ04zpnKC7MQIRSHahM6_K9cI,actionrooterla@gmail.com,RECEIVING,,,https://lh4.googleusercontent.com/-qHRupYCslw4/AAAAAAAAAAI/AAAAAAAAAAA/uOUA-FYCHRo/s256/photo.jpg,#f9fafa,#9b212c,actionrooterllc
Tommys Plumbing & Heating LLC,https://www.tommysplumbingllc.com/,"Plumber, Drainage service, HVAC contractor",Plumber,Plumber,+1 201-262-0093,CELLCO PARTNERSHIP DBA VERIZON,mobile,40.953599,-74.0776714,"69 W Midland Ave, Paramus, NJ 07652",Paramus,New Jersey,False,3.9,22.0,"https://search.google.com/local/reviews?placeid=ChIJ469Dn_j7wokR-COQNx6skZ8&q=plumber,+71466,+Otis,+LA,+US&authuser=0&hl=en&gl=US",26.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Tommys+Plumbing+%26+Heating+LLC/@40.953599,-74.0776714,14z/data=!4m8!1m2!2m1!1sTommys+Plumbing+%26+Heating+LLC!3m4!1s0x89c2fbf89f43afe3:0x9f91ac1e379023f8!8m2!3d40.953599!4d-74.0776714",ChIJ469Dn_j7wokR-COQNx6skZ8,info@tommysplumbingllc.com,INVALID,http://www.facebook.com/pages/,,https://lh6.googleusercontent.com/-vRfLUwfQxK0/AAAAAAAAAAI/AAAAAAAAAAA/Js-LrSD8f4Q/s256/photo.jpg,#9e9797,#2b2c2a,tommysplumbingheatingllc
