name,site,subtypes,category,type,phone number,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,latitude,longitude,full_address,city,state,area_service,rating,reviews,reviews_link,photos_count,working_hours,verified,location_link,place_id,email_1,email_1.emails_validator.status,facebook,instagram,logo,primary_color,secondary_color,slug
"Nathan DeBusk Plumbing, LLC",,"Plumber, Service establishment",Plumber,Plumber,+1 318-233-9141,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.4221856,-92.526927,,Prospect,LA,True,5.0,9.0,"https://search.google.com/local/reviews?placeid=ChIJ4eLlflDidKsRVg1SXkQ_anE&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4:30PM"", ""Tuesday"": ""7AM-4:30PM"", ""Wednesday"": ""7AM-4:30PM"", ""Thursday"": ""7AM-4:30PM"", ""Friday"": ""7AM-12PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Nathan+DeBusk+Plumbing%2C+LLC/@31.4221856,-92.526927,14z/data=!4m8!1m2!2m1!1sNathan+DeBusk+Plumbing%2C+LLC!3m4!1s0xab74e2507ee5e2e1:0x716a3f445e520d56!8m2!3d31.4221856!4d-92.526927",ChIJ4eLlflDidKsRVg1SXkQ_anE,,,,,https://lh3.googleusercontent.com/-_5mzwspSo_o/AAAAAAAAAAI/AAAAAAAAAAA/JKarfx0fuPA/s256/photo.jpg,#4374e0,#9fc2fe,nathandebuskplumbingllc
Avoyelles Plumbing Repair & Drain Cleaning Services,,Plumber,Plumber,Plumber,+1 318-359-9133,CELLCO PARTNERSHIP DBA VERIZON,mobile,31.1105547,-92.2070116,"850 LA-1, Marksville, LA 71351",Marksville,Louisiana,False,4.6,49.0,"https://search.google.com/local/reviews?placeid=ChIJcUJjtcs9JYYRG4qVFLldvYM&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",2.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Avoyelles+Plumbing+Repair+%26+Drain+Cleaning+Services/@31.110554699999998,-92.2070116,14z/data=!4m8!1m2!2m1!1sAvoyelles+Plumbing+Repair+%26+Drain+Cleaning+Services!3m4!1s0x86253dcbb5634271:0x83bd5db914958a1b!8m2!3d31.110554699999998!4d-92.2070116",ChIJcUJjtcs9JYYRG4qVFLldvYM,,,,,https://lh5.googleusercontent.com/-O6G63VHUF3E/AAAAAAAAAAI/AAAAAAAAAAA/TgjwxU7RHFU/s256/photo.jpg,#38322d,#a39484,avoyellesplumbingrepairdraincleaningservices
"Lucas Plumbing Repair Services, LLC",,"Plumber, Service establishment",Plumber,Plumber,+1 318-452-0036,,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,4.1,10.0,"https://search.google.com/local/reviews?placeid=ChIJtx48tbJczYYRp1ZNs-m_wzc&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",4.0,"{""Sunday"": ""Closed"", ""Monday"": ""7:30AM-4PM"", ""Tuesday"": ""7:30AM-4PM"", ""Wednesday"": ""7:30AM-4PM"", ""Thursday"": ""7:30AM-4PM"", ""Friday"": ""7:30AM-4PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Lucas+Plumbing+Repair+Services%2C+LLC/@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sLucas+Plumbing+Repair+Services%2C+LLC!3m4!1s0x86cd5cb2b53c1eb7:0x37c3bfe9b34d56a7!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJtx48tbJczYYRp1ZNs-m_wzc,,,,,https://lh6.googleusercontent.com/-v89678p0yeU/AAAAAAAAAAI/AAAAAAAAAAA/TJ5bPeFhBvk/s256/photo.jpg,#41b6d4,#5b402e,lucasplumbingrepairservicesllc
Folden Plumbing,,Plumber,Plumber,Plumber,,,,31.9047733,-92.6573466,"265 Par Rd 786, Winnfield, LA 71483",Winnfield,Louisiana,False,,,,1.0,,False,"https://www.google.com/maps/place/Folden+Plumbing/@31.9047733,-92.6573466,14z/data=!4m8!1m2!2m1!1sFolden+Plumbing!3m4!1s0x8630171d9bb84121:0x7dbad8a69a926c78!8m2!3d31.9047733!4d-92.6573466",ChIJIUG4mx0XMIYReGySmqbYun0,,,,,,,,foldenplumbing
C&V Outdoors,,"Hardware store, Animal feed store, Fishing store, Hunting store, Outdoor sports store",Hardware store,Hardware store,,,,31.8979288,-92.2322609,"3683 Main St #165, Olla, LA 71465",Olla,Louisiana,False,4.7,39.0,"https://search.google.com/local/reviews?placeid=ChIJse-GskjpL4YRTtXwtViGoOI&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",18.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-3PM""}",True,"https://www.google.com/maps/place/C%26V+Outdoors/@31.8979288,-92.2322609,14z/data=!4m8!1m2!2m1!1sC%26V+Outdoors!3m4!1s0x862fe948b286efb1:0xe2a08658b5f0d54e!8m2!3d31.8979288!4d-92.2322609",ChIJse-GskjpL4YRTtXwtViGoOI,,,,,https://lh5.googleusercontent.com/-xFB4kYn29a0/AAAAAAAAAAI/AAAAAAAAAAA/qL-6z0W_Pno/s256/photo.jpg,#2a2a2a,#f9f9f9,cvoutdoors
Big D's Plumbing,,Plumber,Plumber,Plumber,,,,31.4340721,-92.4569121,"230 Hamilton Dr, Pineville, LA 71360",Pineville,Louisiana,False,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJpQzbjq1SJYYRO4IRXRlfuGA&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/Big+D%27s+Plumbing/@31.434072099999998,-92.4569121,14z/data=!4m8!1m2!2m1!1sBig+D%27s+Plumbing!3m4!1s0x862552ad8edb0ca5:0x60b85f195d11823b!8m2!3d31.434072099999998!4d-92.4569121",ChIJpQzbjq1SJYYRO4IRXRlfuGA,,,,,,,,bigdsplumbing
Bushnell Plumbing,,Plumber,Plumber,Plumber,,,,30.7646832,-93.1586427,"2919 State Rte 394, DeRidder, LA 70634",DeRidder,Louisiana,False,5.0,3.0,"https://search.google.com/local/reviews?placeid=ChIJA9Mb71-pO4YRNFLnZYzyDkg&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",,,False,"https://www.google.com/maps/place/Bushnell+Plumbing/@30.7646832,-93.1586427,14z/data=!4m8!1m2!2m1!1sBushnell+Plumbing!3m4!1s0x863ba95fef1bd303:0x480ef28c65e75234!8m2!3d30.7646832!4d-93.1586427",ChIJA9Mb71-pO4YRNFLnZYzyDkg,,,,,,,,bushnellplumbing
Cenla Backflow Prevention Co.,,"Plumber, Service establishment",Plumber,Plumber,+1 318-715-9889,AT&T Mobility LLC,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,5.0,7.0,"https://search.google.com/local/reviews?placeid=ChIJGYhOTVJPJYYRD4xV-BxuhZ0&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",38.0,"{""Sunday"": ""Closed"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""9AM-5PM""}",True,"https://www.google.com/maps/place/Cenla+Backflow+Prevention+Co./@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sCenla+Backflow+Prevention+Co.!3m4!1s0x86254f524d4e8819:0x9d856e1cf8558c0f!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJGYhOTVJPJYYRD4xV-BxuhZ0,,,,,https://lh4.googleusercontent.com/-qeGKln-ZSU8/AAAAAAAAAAI/AAAAAAAAAAA/qJ8aCbfkNYo/s256/photo.jpg,#acbbbd,#4d4635,cenlabackflowpreventionco
Clint Crook's Plumbing LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-715-4956,,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,,,,,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Clint+Crook%27s+Plumbing+LLC/@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sClint+Crook%27s+Plumbing+LLC!3m4!1s0x87d13a4523cf776f:0xa7f03a8129bc3ac1!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJb3fPI0U60YcRwTq8KYE68Kc,,,,,https://lh4.googleusercontent.com/-OyM-83fFCis/AAAAAAAAAAI/AAAAAAAAAAA/YnBLlargtuw/s256/photo.jpg,#4374e0,#9fc2fe,clintcrooksplumbingllc
Water Worx Plumbing LLC,,"Plumber, Drainage service, Service establishment",Plumber,Plumber,+1 318-264-8625,T-Mobile USA Inc.,mobile,30.723674,-91.1463555,,Slaughter,LA,True,4.7,13.0,,,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-12AM"", ""Thursday"": ""12AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Water+Worx+Plumbing+LLC/@30.723674,-91.1463555,14z/data=!4m8!1m2!2m1!1sWater+Worx+Plumbing+LLC!3m4!1s0x2d1d22fbea229009:0x9986d2d09edb310!8m2!3d30.723674!4d-91.1463555",ChIJCZAi6vsiHS0RELPtCS1tmAk,,,,,https://lh4.googleusercontent.com/-StHqnkoIulU/AAAAAAAAAAI/AAAAAAAAAAA/cZSXKzfohl4/s256/photo.jpg,#392429,#f0f3f6,waterworxplumbingllc
